TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionAmount_bin,CustomerAge_bin,Target
-0.9720805266815915,680,1,36,0,1.424795628631545,0,-0.5501022230886541,-0.20374543196723224,0.0007245709526375667,105,2,1,2
0.2732724545296658,1178,1,15,0,1.3122493062266807,0,0.31062347638048776,-0.20374543196723224,2.2312093099908985,192,0,1,2
-0.5862497811565243,1262,1,23,2,-1.4451355926924947,3,-0.9087379312007966,-0.20374543196723224,-1.0284914121275195,41,1,0,3
-0.3860785895610327,818,1,33,2,-1.0512234642754696,3,-1.3534462092598532,-0.20374543196723224,0.8924464035759979,163,1,0,2
-0.9742813437683655,1939,1,1,2,0.017966598570741225,3,1.1283128908761726,-0.20374543196723224,0.598462081500253,16,2,1,1
-0.7036496176291249,635,1,28,0,-1.5014087538949268,3,0.7553317544395445,-0.20374543196723224,-1.1163699364255943,13,1,0,2
-0.996186351335163,306,1,39,0,-0.43221869104871596,0,0.2819326197315164,-0.20374543196723224,2.1171403181671136,226,2,0,0
-0.43105778877197637,837,1,16,1,1.2559761450242486,2,2.4624377250533427,-0.20374543196723224,-0.5966982309336822,271,1,1,2
-0.6552316417200968,557,1,11,1,0.35560556578533414,1,-0.47837508146622565,-0.20374543196723224,1.0281529056534666,290,1,1,0
1.7853713442113284,610,1,26,0,0.5806982105950628,0,0.009369481566288104,-0.20374543196723224,-1.0544084442589887,9,3,1,0
-0.9593914406656602,516,1,0,2,0.4118787269877663,1,-0.8657016462273395,-0.20374543196723224,0.6423458826966852,22,2,1,0
-0.3670965421876069,234,1,22,2,-1.3325892702876303,3,0.7696771827640301,-0.20374543196723224,-0.9236418363321882,49,1,0,0
0.6800109623790859,1037,1,23,1,-1.1637697866803338,3,-0.11973937335408318,-0.20374543196723224,-0.9001134945315383,135,3,0,2
1.6677651811368424,2173,1,22,0,-1.0512234642754696,3,0.0524057665397452,-0.20374543196723224,-1.269078444950611,43,3,0,1
-0.4462915695444901,283,1,21,2,-1.5014087538949268,3,0.21020547810908788,-0.20374543196723224,-1.2406411639495842,226,1,0,0
0.580045723765773,2354,1,10,0,-0.4884918522511481,1,0.1384783364866594,-0.20374543196723224,-0.42404699568343546,355,3,0,1
0.8907391984376964,2031,1,2,1,-1.4451355926924947,3,0.5544957578967447,-0.20374543196723224,-1.0261930070683836,72,3,0,1
0.6745433074291318,2367,1,8,2,-0.3196723686438517,1,1.6447483105576577,-0.20374543196723224,0.00014674521386494628,327,3,0,1
-0.9562965416373841,353,1,0,1,0.8057908554047913,2,-0.19146651497651168,-0.20374543196723224,0.7323345027729566,337,2,1,0
-0.774729131978529,1050,1,8,2,-1.5014087538949268,3,0.7122954694660873,-0.20374543196723224,0.37640932516413356,177,2,0,2
-0.8165446566272351,413,1,20,1,1.4810687898339772,2,-1.1669556410415391,-0.20374543196723224,0.1654771347201971,181,2,1,0
-0.7255890129629033,1479,1,19,1,-0.3759455298462838,0,-0.37795708319482574,-0.20374543196723224,1.0413216574232638,110,1,0,3
-0.8410287467175959,1029,1,1,2,-0.3196723686438517,1,0.009369481566288104,-0.20374543196723224,0.9971437841990635,38,2,0,2
0.16873364290790066,802,1,13,2,-1.2763161090851982,3,0.32496890470497347,-0.20374543196723224,-0.9562245010930708,41,0,0,2
-0.5200533297184,436,1,33,2,-1.3325892702876303,3,-0.33492079822136867,-0.20374543196723224,-0.8199040591681561,46,1,0,0
-0.9947764528889482,1979,1,15,2,1.1434298226193842,2,2.247256300186057,-0.20374543196723224,-0.3804185728269074,201,2,1,1
-0.171395760299625,707,1,24,0,-1.2200429478827661,3,0.5544957578967447,-0.20374543196723224,-1.1443145178011498,314,0,0,2
-0.8818814138908382,601,1,25,1,-0.43221869104871596,1,-0.3492662265458544,-0.20374543196723224,-0.6250013738167794,335,2,0,0
-0.5822608001867464,160,1,19,2,-0.038306562631690924,0,1.1139674625516869,-0.20374543196723224,-0.8608935725123429,298,1,0,0
-0.8273768032262008,1753,1,11,1,-0.9949503030730374,3,2.347674298457457,-0.20374543196723224,-0.9693313429622848,127,2,0,3
-0.9231811220348316,1296,1,24,2,0.8057908554047913,0,-1.4251733508822817,-0.20374543196723224,0.8319320553355147,174,2,1,3
-0.8172324119668519,224,1,3,0,-0.8824039806681732,0,1.9746931620208288,-0.20374543196723224,1.216075249714134,35,2,0,0
0.34277013159795106,1783,1,27,0,0.24305924338046983,1,0.6979500411416016,-0.20374543196723224,1.1816404470941497,289,0,1,3
1.9980596829878468,505,1,20,2,-1.2763161090851982,3,0.43973233130085904,-0.20374543196723224,-1.215085272904848,87,3,0,0
-0.14275075040458218,2019,1,37,1,0.017966598570741225,0,-0.9948105011477107,-0.20374543196723224,2.503860512157491,267,0,1,1
-0.5915111095045934,1924,1,39,1,0.24305924338046983,1,-1.0665376427701392,-0.20374543196723224,0.16904469274128017,0,1,1,1
-0.7518612669362679,2190,1,25,1,-1.0512234642754696,3,0.36800518967843054,-0.20374543196723224,-1.0856910011076328,354,2,0,1
